form	lexeme	cell
p e r d o n o	perdon	1sgPres
p e r d o n a s	perdon	2sgPres
p e r d o n a n	perdon	3plPres
p e r d o n a	perdon	3sgPres
p e r d o n a m o s	perdon	1plPres
p e r d o n a i s	perdon	2plPres
d e s p a C o	despaC	1sgPres
d e s p a C a s	despaC	2sgPres
d e s p a C a n	despaC	3plPres
d e s p a C a	despaC	3sgPres
d e s p a C a m o s	despaC	1plPres
d e s p a C a i s	despaC	2plPres
d e s t a k o	destak	1sgPres
d e s t a k a s	destak	2sgPres
d e s t a k a n	destak	3plPres
d e s t a k a	destak	3sgPres
d e s t a k a m o s	destak	1plPres
d e s t a k a i s	destak	2plPres
k o n s u m o	konsum	1sgPres
k o n s u m e s	konsum	2sgPres
k o n s u m e n	konsum	3plPres
k o n s u m e	konsum	3sgPres
k o n s u m i m o s	konsum	1plPres
k o n s u m i s	konsum	2plPres
a o r r o	aorr	1sgPres
a o r r a s	aorr	2sgPres
a o r r a n	aorr	3plPres
a o r r a	aorr	3sgPres
a o r r a m o s	aorr	1plPres
a o r r a i s	aorr	2plPres
n j e g o	neg	1sgPres
n j e g a s	neg	2sgPres
n j e g a n	neg	3plPres
n j e g a	neg	3sgPres
n e g a m o s	neg	1plPres
n e g a i s	neg	2plPres
a p o r t o	aport	1sgPres
a p o r t a s	aport	2sgPres
a p o r t a n	aport	3plPres
a p o r t a	aport	3sgPres
a p o r t a m o s	aport	1plPres
a p o r t a i s	aport	2plPres
k a r g o	karg	1sgPres
k a r g a s	karg	2sgPres
k a r g a n	karg	3plPres
k a r g a	karg	3sgPres
k a r g a m o s	karg	1plPres
k a r g a i s	karg	2plPres
a d k j e r o	adkir	1sgPres
a d k j e r e s	adkir	2sgPres
a d k j e r e n	adkir	3plPres
a d k j e r e	adkir	3sgPres
a d k i r i m o s	adkir	1plPres
a d k i r i s	adkir	2plPres
a d j e r o	ader	1sgPres
a d j e r e s	ader	2sgPres
a d j e r e n	ader	3plPres
a d j e r e	ader	3sgPres
a d e r i m o s	ader	1plPres
a d e r i s	ader	2plPres
a s j e n d o	asend	1sgPres
a s j e n d e s	asend	2sgPres
a s j e n d e n	asend	3plPres
a s j e n d e	asend	3sgPres
a s e n d e m o s	asend	1plPres
a s e n d e i s	asend	2plPres
a l s o	als	1sgPres
a l s a s	als	2sgPres
a l s a n	als	3plPres
a l s a	als	3sgPres
a l s a m o s	als	1plPres
a l s a i s	als	2plPres
e n s a j o	ensaj	1sgPres
e n s a j a s	ensaj	2sgPres
e n s a j a n	ensaj	3plPres
e n s a j a	ensaj	3sgPres
e n s a j a m o s	ensaj	1plPres
